No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
666,2016,15,96,0,"25,766625","30,017654",,,,,,,"5,6443861","1,67","34,52","84,361365","5,753883","13,79","33900000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","26,54937"
673,2016,15,97,0,,,,,,,,,"5,9098776","1,42","25,63","76,874201","5,625626","23,23","5356000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","24,70413"
680,2016,15,98,0,,,,,,,,,"6,0905929","2,21","30,77","83,201624","4,937416","1,55","5194000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","24,67328"
687,2016,15,99,0,,,,,,,,,"5,2685604","1,43","29,22","87,623504","4,114258","15,59","23000000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","26,16124"
694,2016,15,100,0,"28,756837","33,864755",,,,,,,"5,8562165","1,89","23,42","87,218552","5,826462","23,04","84280000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,45999"
701,2016,15,101,0,"8,5306897","10,950795",,,,,,,"6,1696994","1,74","25,97","88,685171","7,546806","21,35","42500000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","26,77528"
708,2016,15,102,0,"52,089875","58,168369","45,35","45,35",100,"60,67","40,89","53,01","6,8132773","1,52","33,98","80,689112","4,824333","10,24","120900000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,82092"
715,2016,15,103,0,"16,530998","20,500514","42,51","42,51",100,"66,52","53,65","30,99","5,8029535","1,68","31,21","87,917675","5,44416","20,19","84840000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,46656"
722,2016,15,104,0,"33,230161","38,796129","16,55","16,55",100,"47,3","21,74","10,54","5,5004649","1,6",29,"89,07392","4,902779","18,61","57840000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,0836"
729,2016,15,105,0,"49,231417","54,107489","49,92","49,92",100,"47,3","44,73","71,58","5,8934084","1,69","27,75","86,973335","5,50489","13,81","85340000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,47251"
736,2016,15,106,0,,,,,,,,,"8,0247574","1,4","37,4","80,398595","7,135735","15,29","1870000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","23,65195"
743,2016,15,107,0,,,,,,,,,"6,6207425","1,17","22,97","85,760213","4,125626","3,26","25260000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","26,25499"
757,2016,15,109,0,"35,364146","40,852333",,,,,,,"5,950748","1,27","25,85","83,10214","4,982925","16,06","30450000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","26,442"
764,2016,15,110,0,"5,3904398","10,664948","50,1","50,1",100,"74,24","54,39","42,15","6,7879652","1,87","27,91","86,244022","7,319351","15,49","85500000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","27,47441"
771,2016,15,111,0,"17,869922","26,900363","43,21","43,21","83,78","70,09","50,96","29,42","7,6444239","1,46","31,71","85,211133","5,66407","9,17","261100000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","28,59092"
785,2016,15,113,0,"14,612872","20,486849","46,32","46,32","83,78","70,09","31,28","65,17","6,344855","2,37","34,97","85,831465","5,481918","9,09","281600000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","28,66631"
792,2016,15,114,0,,,,,,,,,"7,1190787","1,39","32,46","82,130211","4,334412","8,56","1793000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","23,60992"
